City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
367,myitkyina,25.3833,97.4,24.61,98,84,0.27,MM,1690382042
368,maslyanino,54.3436,84.2111,20.84,53,65,1.61,RU,1690382042
369,birine,35.635,3.225,36.63,11,0,3.65,DZ,1690382042
370,pandan,14.0453,124.1694,27.8,80,100,7.0,PH,1690382042
371,ritchie,-29.038,24.6028,24.56,23,89,9.55,ZA,1690382046
372,kiskunfelegyhaza,46.7121,19.8446,23.79,58,85,8.83,HU,1690382046
373,cuero,29.0939,-97.2892,30.93,77,1,4.02,US,1690382046
374,shigony,53.3875,48.6777,29.82,32,19,5.7,RU,1690382046
375,mazamari,-11.3258,-74.5308,28.62,50,14,0.9,PE,1690382047
376,nogliki,51.8333,143.1667,15.22,99,100,2.75,RU,1690382047
377,moab,38.5733,-109.5498,30.27,26,8,0.55,US,1690381813
378,port isabel,26.0734,-97.2086,31.12,75,0,4.63,US,1690382047
379,ji'an,27.1172,114.9793,27.76,80,97,2.04,CN,1690382047
